"claim_id","case_id","page_route","claim_text","claim_type","evidence_file","verified","owner","notes"
"M029","tekion-dms","/case-studies/tekion-dms","Cloud-native DMS replacing legacy systems","outcome","evidence/03-case-studies/tekion-dms/04-metrics-evidence.pdf","N","",""
"M030","tekion-dms","/case-studies/tekion-dms","Unified dealership ecosystem in one platform","outcome","evidence/03-case-studies/tekion-dms/04-metrics-evidence.pdf","N","",""
"M031","tekion-dms","/case-studies/tekion-dms","API-first architecture for all OEM integrations","outcome","evidence/03-case-studies/tekion-dms/04-metrics-evidence.pdf","N","",""
"M032","tekion-dms","/case-studies/tekion-dms","Scalable multi-dealer, multi-region architecture","outcome","evidence/03-case-studies/tekion-dms/04-metrics-evidence.pdf","N","",""
"M033","tekion-hub","/case-studies/tekion-hub","Single integration layer across all OEM partners","outcome","evidence/03-case-studies/tekion-hub/04-metrics-evidence.pdf","N","",""
"M034","tekion-hub","/case-studies/tekion-hub","Near real-time bidirectional data sync","outcome","evidence/03-case-studies/tekion-hub/04-metrics-evidence.pdf","N","",""
"M035","tekion-hub","/case-studies/tekion-hub","Eliminated point-to-point integration chaos","outcome","evidence/03-case-studies/tekion-hub/04-metrics-evidence.pdf","N","",""
"M036","tekion-hub","/case-studies/tekion-hub","Secure, versioned, standardized data contracts","outcome","evidence/03-case-studies/tekion-hub/04-metrics-evidence.pdf","N","",""
"M037","verizon-mybiz","/case-studies/verizon-mybiz","SMB self-service replacing costly support queues","outcome","evidence/03-case-studies/verizon-mybiz/04-metrics-evidence.pdf","N","",""
"M038","verizon-mybiz","/case-studies/verizon-mybiz","Real-time account, device and order visibility","outcome","evidence/03-case-studies/verizon-mybiz/04-metrics-evidence.pdf","N","",""
"M039","verizon-mybiz","/case-studies/verizon-mybiz","Minimal production incidents across all flows","outcome","evidence/03-case-studies/verizon-mybiz/04-metrics-evidence.pdf","N","",""
"M040","verizon-mybiz","/case-studies/verizon-mybiz","High-availability microservices architecture","outcome","evidence/03-case-studies/verizon-mybiz/04-metrics-evidence.pdf","N","",""
"M041","att-wos","/case-studies/att-wos","Reliable carrier-to-carrier ordering workflow","outcome","evidence/03-case-studies/att-wos/04-metrics-evidence.pdf","N","",""
"M042","att-wos","/case-studies/att-wos","Support for all carrier types (CLECs, IXCs)","outcome","evidence/03-case-studies/att-wos/04-metrics-evidence.pdf","N","",""
"M043","att-wos","/case-studies/att-wos","Regional-scale telecom ordering platform","outcome","evidence/03-case-studies/att-wos/04-metrics-evidence.pdf","N","",""
"M044","mndot-etbos","/case-studies/mndot-etbos","Automated E-ZPass lifecycle across Minnesota","outcome","evidence/03-case-studies/mndot-etbos/04-metrics-evidence.pdf","N","",""
"M045","mndot-etbos","/case-studies/mndot-etbos","Real-time account balance updates per transaction","outcome","evidence/03-case-studies/mndot-etbos/04-metrics-evidence.pdf","N","",""
"M046","mndot-etbos","/case-studies/mndot-etbos","Rule-based violation detection and management","outcome","evidence/03-case-studies/mndot-etbos/04-metrics-evidence.pdf","N","",""
"M047","mndot-etbos","/case-studies/mndot-etbos","Seamless cross-team operational workflow","outcome","evidence/03-case-studies/mndot-etbos/04-metrics-evidence.pdf","N","",""
"M048","medhost","/case-studies/medhost","Modern enterprise healthcare engagement portal","outcome","evidence/03-case-studies/medhost/04-metrics-evidence.pdf","N","",""
"M049","medhost","/case-studies/medhost","Cloud-scale deployment and release pipeline","outcome","evidence/03-case-studies/medhost/04-metrics-evidence.pdf","N","",""
"M050","medhost","/case-studies/medhost","Graph + relational hybrid data layer","outcome","evidence/03-case-studies/medhost/04-metrics-evidence.pdf","N","",""
"M051","medhost","/case-studies/medhost","Enterprise-grade messaging backbone","outcome","evidence/03-case-studies/medhost/04-metrics-evidence.pdf","N","",""
"M052","talic","/case-studies/talic","Automated backend payment triggers","outcome","evidence/03-case-studies/talic/04-metrics-evidence.pdf","N","",""
"M053","talic","/case-studies/talic","Reduced manual labor across claim processing","outcome","evidence/03-case-studies/talic/04-metrics-evidence.pdf","N","",""
"M054","talic","/case-studies/talic","Higher settlement accuracy and faster turnaround","outcome","evidence/03-case-studies/talic/04-metrics-evidence.pdf","N","",""
"M055","tata-aig","/case-studies/tata-aig","Unified multi-product claim processing","outcome","evidence/03-case-studies/tata-aig/04-metrics-evidence.pdf","N","",""
"M056","tata-aig","/case-studies/tata-aig","Streamlined end-to-end assessment-to-payment flow","outcome","evidence/03-case-studies/tata-aig/04-metrics-evidence.pdf","N","",""
"M057","tata-aig","/case-studies/tata-aig","Modern, maintainable Vue.js/Vuetify frontend","outcome","evidence/03-case-studies/tata-aig/04-metrics-evidence.pdf","N","",""
"M058","autonomo","/case-studies/autonomo","Checkout-free retail experience live in stores","outcome","evidence/03-case-studies/autonomo/04-metrics-evidence.pdf","N","",""
"M059","autonomo","/case-studies/autonomo","Computer vision-driven real-time product tracking","outcome","evidence/03-case-studies/autonomo/04-metrics-evidence.pdf","N","",""
"M060","autonomo","/case-studies/autonomo","TAPNGO contactless payment integration","outcome","evidence/03-case-studies/autonomo/04-metrics-evidence.pdf","N","",""
"M061","autonomo","/case-studies/autonomo","Frictionless customer entry and exit","outcome","evidence/03-case-studies/autonomo/04-metrics-evidence.pdf","N","",""
"M062","legaldst","/case-studies/legaldst","Instant AI-powered legal case research","outcome","evidence/03-case-studies/legaldst/04-metrics-evidence.pdf","N","",""
"M063","legaldst","/case-studies/legaldst","LLM-generated answers with verified case references","outcome","evidence/03-case-studies/legaldst/04-metrics-evidence.pdf","N","",""
"M064","legaldst","/case-studies/legaldst","Subscription-based revenue model live and operating","outcome","evidence/03-case-studies/legaldst/04-metrics-evidence.pdf","N","",""
"M065","legaldst","/case-studies/legaldst","Modern chat-style UX built for practising lawyers","outcome","evidence/03-case-studies/legaldst/04-metrics-evidence.pdf","N","",""
"M066","sdms","/case-studies/sdms","Horizontal scaling of discount calculation engine","outcome","evidence/03-case-studies/sdms/04-metrics-evidence.pdf","N","",""
"M067","sdms","/case-studies/sdms","Eliminated DB thread-pool bottlenecks entirely","outcome","evidence/03-case-studies/sdms/04-metrics-evidence.pdf","N","",""
"M068","sdms","/case-studies/sdms","Resilient, decoupled SAP HANA integration","outcome","evidence/03-case-studies/sdms/04-metrics-evidence.pdf","N","",""
"M069","sdms","/case-studies/sdms","Zero-downtime migration path validated","outcome","evidence/03-case-studies/sdms/04-metrics-evidence.pdf","N","",""
"M070","sdms","/case-studies/sdms","Dealer rebate and discount schemes across 18+ scheme types were running on a Java 8 monolith with a 3,000-thread pool masking DB bottlenecks, a God Object with 80+ fields, and brittle SAP HANA integration.","problem-context","evidence/03-case-studies/sdms/04-metrics-evidence.pdf","N","","Verify numbers in problem statement"
"M071","iiot","/case-studies/iiot","Real-time industrial operational dashboards","outcome","evidence/03-case-studies/iiot/04-metrics-evidence.pdf","N","",""
"M072","iiot","/case-studies/iiot","ML-driven operational insights and anomaly detection","outcome","evidence/03-case-studies/iiot/04-metrics-evidence.pdf","N","",""
"M073","iiot","/case-studies/iiot","Customizable KPI reporting for operations teams","outcome","evidence/03-case-studies/iiot/04-metrics-evidence.pdf","N","",""
"M074","iiot","/case-studies/iiot","Secure multi-role access management","outcome","evidence/03-case-studies/iiot/04-metrics-evidence.pdf","N","",""
"M075","transconnect","/case-studies/transconnect","Unified fuel-payment lifecycle platform live","outcome","evidence/03-case-studies/transconnect/04-metrics-evidence.pdf","N","",""
"M076","transconnect","/case-studies/transconnect","Integrated multi-gateway payment flows","outcome","evidence/03-case-studies/transconnect/04-metrics-evidence.pdf","N","",""
"M077","transconnect","/case-studies/transconnect","Automated reconciliation at Jio BP scale","outcome","evidence/03-case-studies/transconnect/04-metrics-evidence.pdf","N","",""
"M078","transconnect","/case-studies/transconnect","Strong compliance and regulatory reporting layer","outcome","evidence/03-case-studies/transconnect/04-metrics-evidence.pdf","N","",""
"M079","procurehere","/case-studies/procurehere","Multi-tenant enterprise SaaS at scale","outcome","evidence/03-case-studies/procurehere/04-metrics-evidence.pdf","N","",""
"M080","procurehere","/case-studies/procurehere","Modern microservices architecture live","outcome","evidence/03-case-studies/procurehere/04-metrics-evidence.pdf","N","",""
"M081","procurehere","/case-studies/procurehere","Enhanced security, compliance and auditability","outcome","evidence/03-case-studies/procurehere/04-metrics-evidence.pdf","N","",""
"M082","procurehere","/case-studies/procurehere","Seamless enterprise system integration","outcome","evidence/03-case-studies/procurehere/04-metrics-evidence.pdf","N","",""
"M-home-01","","/","20+ Documented Engagements","stat","evidence/01-company/project-count-register.pdf","N","","Must match PROJECT-REGISTER.csv count"
"M-home-02","","/","12+ Industries Served","stat","evidence/01-company/industry-count.pdf","N","",""
"M-home-03","","/","6 Global Regions","stat","evidence/01-company/office-addresses.pdf","N","",""
"M-home-04","kotak-sra","/","80–90% Branch SR automated · Kotak","hero-metric","evidence/03-case-studies/kotak-sra/04-metrics-evidence.pdf","N","",""
"M-home-05","","/","CMMI Level 3 processes","certification","evidence/02-certifications/cmmi-appraisal-certificate.pdf","N","",""
